name,desc,category,sub_category,chain,token,value,risk_score,notes
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,ETHEREUM,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,ETHEREUM,,True,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,ETHEREUM,,5,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,ETHEREUM,,High,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,ETHEREUM,,False,,
Emergency Powers & Bypass Risk,Risk level of emergency governance powers bypassing normal upgrade procedures (Low/Medium/High),GOVERNANCE,,ETHEREUM,,Low,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,ARBITRUM,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,ARBITRUM,,True,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,ARBITRUM,,1,,
Number of Nodes,Total number of active nodes in the network,GOVERNANCE,,ARBITRUM,,1,,
Last Release Date,Last software release date,GOVERNANCE,,ARBITRUM,,,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,ARBITRUM,,False,,
Exit Window,Exit window in the network,GOVERNANCE,,ARBITRUM,,Yes (10 days) / No for emergency,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,ARBITRUM,,Low/Medium,,
Vitalik's Rollup Milestone,Vitalik's rollup milestone stage,GOVERNANCE,,ARBITRUM,,Stage 1,,
Voting & Delegation Layer Coefficient,Minimum number of top delegates required to collectively control enough voting power to unilaterally pass governance proposals,GOVERNANCE,,ARBITRUM,,7-10 (Minor) / 20-23 (Major),,
Upgrade Authority Coefficient,Minimum number of entities required to technically push or block a protocol upgrade,GOVERNANCE,,ARBITRUM,,9,,
Emergency Powers & Bypass Risk,Risk level of emergency governance powers bypassing normal upgrade procedures (Low/Medium/High),GOVERNANCE,,ARBITRUM,,High,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,BASE,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,BASE,,True,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,BASE,,1,,
Number of Nodes,Total number of active nodes in the network,GOVERNANCE,,BASE,,1,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,BASE,,False,,
Exit Window,Exit window in the network,GOVERNANCE,,BASE,,No,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,BASE,,Low,,
Vitalik's Rollup Milestone,Vitalik's rollup milestone stage,GOVERNANCE,,BASE,,Stage 1,,
Upgrade Authority Coefficient,Minimum number of entities required to technically push or block a protocol upgrade,GOVERNANCE,,BASE,,10,,
Emergency Powers & Bypass Risk,Risk level of emergency governance powers bypassing normal upgrade procedures (Low/Medium/High),GOVERNANCE,,BASE,,High,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,OPTIMISM,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,OPTIMISM,,True,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,OPTIMISM,,1,,
Number of Nodes,Total number of active nodes in the network,GOVERNANCE,,OPTIMISM,,1,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,OPTIMISM,,False,,
Exit Window,Exit window in the network,GOVERNANCE,,OPTIMISM,,0 days,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,OPTIMISM,,Low,,
Vitalik's Rollup Milestone,Vitalik's rollup milestone stage,GOVERNANCE,,OPTIMISM,,Stage 1,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,POLYGON,,False,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,POLYGON,,False,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,POLYGON,,4,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,POLYGON,,False,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,POLYGON,,High,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,SOLANA,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,SOLANA,,False,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,SOLANA,,4,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,SOLANA,,False,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,SOLANA,,High,,
Emergency Powers & Bypass Risk,Risk level of emergency governance powers bypassing normal upgrade procedures (Low/Medium/High),GOVERNANCE,,SOLANA,,Low,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,AVALANCHE_C,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,AVALANCHE_C,,False,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,AVALANCHE_C,,1,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,AVALANCHE_C,,False,,
Exit Window,Exit window in the network,GOVERNANCE,,AVALANCHE_C,,0 days,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,AVALANCHE_C,,High,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,UNICHAIN,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,UNICHAIN,,True,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,UNICHAIN,,1,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,UNICHAIN,,False,,
Exit Window,Exit window in the network,GOVERNANCE,,UNICHAIN,,0 days,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,UNICHAIN,,Low,,
Vitalik's Rollup Milestone,Vitalik's rollup milestone stage,GOVERNANCE,,UNICHAIN,,Stage 1,,
State Validation/Fraud Proofs,State validation/fraud proofs in the network,GOVERNANCE,,INK,,True,,
Slashing Behavior,Slashing behavior in the network,GOVERNANCE,,INK,,False,,
Number of Software Clients,Number of different software clients in the network,GOVERNANCE,,INK,,1,,
Delay On Upgrade,Delay on upgrade in the network,GOVERNANCE,,INK,,False,,
Exit Window,Exit window in the network,GOVERNANCE,,INK,,0 days,,
Upgrade Transparency,Upgrade transparency in the network,GOVERNANCE,,INK,,Low,,
Vitalik's Rollup Milestone,Vitalik's rollup milestone stage,GOVERNANCE,,INK,,Stage 1,,
