name,desc,category,sub_category,chain,token,value,risk_score,notes
Governance integrity & liveness,Governance integrity & liveness anchor risk score,TOKEN_RISK,anchor,,UNI,2.5,,PD: 1.25%
Control-plane integrity,Control-plane integrity anchor risk score,TOKEN_RISK,anchor,,UNI,1,1,PD: 0.1%
Treasury custody integrity,Treasury custody integrity anchor risk score,TOKEN_RISK,anchor,,UNI,1,1,PD: 0.1%
Fee collection and distribution integrity,Fee collection and distribution integrity anchor risk score,TOKEN_RISK,anchor,,UNI,1,1,PD: 0.1%
Jurisdictional clarity,Jurisdictional clarity control modifier,TOKEN_RISK,modifier,,UNI,1.00,,
Governance power distribution and participation,Governance power distribution and participation control modifier,TOKEN_RISK,modifier,,UNI,1.05,,
Voting power integrity,Voting power integrity control modifier,TOKEN_RISK,modifier,,UNI,0.95,,
Voting mechanism integrity,Voting mechanism integrity control modifier,TOKEN_RISK,modifier,,UNI,0.95,,
Governance parameters safeguards,Governance parameters safeguards control modifier,TOKEN_RISK,modifier,,UNI,1.05,,
Protocol parameters safeguards,Protocol parameters safeguards control modifier,TOKEN_RISK,modifier,,UNI,0.95,,
Protocol upgrades safeguards,Protocol upgrades safeguards control modifier,TOKEN_RISK,modifier,,UNI,0.95,,
Emergency roles risk,Emergency roles risk control modifier,TOKEN_RISK,modifier,,UNI,0.97,,
Protocol complexity,Protocol complexity control modifier,TOKEN_RISK,modifier,,UNI,1.05,,
Treasury custody risk,Treasury custody risk control modifier,TOKEN_RISK,modifier,,UNI,1.15,,
Fee-related logic risk,Fee-related logic risk control modifier,TOKEN_RISK,modifier,,UNI,1.00,,
Audits,Audits assurance multiplier,TOKEN_RISK,multiplier,,UNI,0.90,,
Formal verification,Formal verification assurance multiplier,TOKEN_RISK,multiplier,,UNI,0.92,,
Testing,Testing assurance multiplier,TOKEN_RISK,multiplier,,UNI,0.95,,
Monitoring,Monitoring assurance multiplier,TOKEN_RISK,multiplier,,UNI,0.95,,
Incidents history,Incidents history assurance multiplier,TOKEN_RISK,multiplier,,UNI,0.95,,
Upgrades history,Upgrades history assurance multiplier,TOKEN_RISK,multiplier,,UNI,1.00,,
